问题:辩证法所要回答的是世界是否可知的问题。（    ）,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：1","
【解析】辩证法即思辩与实证相统一的方法。辩证法是关于对立统一、斗争和运动、普遍联系和变化发展的哲学学说。马克思主义认为，辩证法是关于普遍联系的科学，是在肯定矛盾的基础上关于发展的学说，是关于自然、人类社会和思维发展的最一般规律的科学。辩证法主张用联系的、发展的、全面的观点看问题，与此对立的观点是形而上学，形而上学坚持用孤立的、静止的、片面的观点看问题，因此，辩证法回答的是世界的状况是怎样的问题。世界是否可知是划分可知论与不可知论的依据。故表述错误。","
来源:2013年6月四川省宜宾市事业单位考试《公共科目》题（精选）第1题","
出错率：72.37%","
易错选项：0" 
问题:“树欲静而风不止”这句话反映了（    ）。,,"
选项：['A', '.', '客', '观', '事', '物', '的', '存', '在', '与', '发', '展', '不', '以', '人', '的', '意', '志', '为', '转', '移', '\n', 'B', '.', '世', '界', '上', '一', '切', '事', '物', '都', '是', '物', '质', '的', '\n', 'C', '.', '人', '的', '思', '想', '动', '机', '背', '后', '有', '物', '质', '的', '原', '因', '\n', 'D', '.', '意', '识', '对', '物', '质', '有', '反', '作', '用', '\n']","
答案：0","
【解析】本题考查的是物质与意识的辩证关系。A项正确，题干诗句意思是树想要静止下来，但是风却不停息地刮得它摇动。客观事物都有它本身固有的规律，不会以任何人的意志为转移。这棵树能不能停下来，要看客观规律，不能靠我们人的意志的操控。B项错误，题干是唯物主义观点，承认世界是物质的。但是选项说法过于绝对化。C项错误，题干中体现的树和风是客观事物，没有提到人的思想动机。D项错误，意识对物质有反作用，说法正确，但与题干无关。故正确答案为A。","
来源:2016年吉林省吉林市事业单位公开招聘工作人员笔试《通用知识B卷》精选题第12题","
出错率：90.44%","
易错选项：3"
问题:马克思主义从产生到发展160多年，表现出了强大的生命力。这种生命力的根源在于（  ）。,,"
选项：['A', '.', '马', '克', '思', '主', '义', '有', '科', '学', '的', '世', '界', '观', '和', '方', '法', '论', '\n', 'B', '.', '是', '以', '实', '践', '为', '基', '础', '的', '科', '学', '性', '与', '革', '命', '性', '的', '统', '一', '\n', 'C', '.', '马', '克', '思', '主', '义', '代', '表', '广', '大', '人', '民', '的', '根', '本', '利', '益', '\n', 'D', '.', '汲', '取', '了', '人', '类', '文', '明', '的', '优', '秀', '成', '果', '\n']","
答案：1","
【解析】马克思主义是无产阶级思想的科学体系，是由一系列的基本原理、基本观点和基本方法构成的科学体系，它是一个完整的整体。马克思主义从产生到发展，表现出了强大的生命力和蓬勃的生机，这种强大生命力和蓬勃生机的根源在于它是以实践为基础的科学性与革命性的统一。故正确答案为B。","
来源:2014年7月河北省张家口市事业单位考试《公共基础知识》题（综合岗、教育岗）第6题","
出错率：56.56%","
易错选项：2"
问题:毛泽东同志曾经指出：“十月革命一声炮响，给我们送来了马克思列宁主义。十月革命帮助了全世界的也帮助了中国的先进分子，用无产阶级的宇宙观作为观察国家命运的工具，重新考虑自己的问题。”文中“无产阶级的宇宙观”指的是（    ）。,,"
选项：['A', '.', '科', '学', '社', '会', '主', '义', '理', '论', '\n', 'B', '.', '马', '克', '思', '主', '义', '哲', '学', '\n', 'C', '.', '无', '产', '阶', '级', '的', '天', '文', '学', '\n', 'D', '.', '辩', '证', '唯', '物', '主', '义', '\n']","
答案：1","
【解析】本题考查马克思主义哲学。A项错误，科学社会主义是与空想社会主义相对而言的、关于社会主义的科学的理论体系、理论模型与实践模式。关于社会主义的本质、性质、特征和发展规律的科学社会主义理论，是由科学的哲学、经济学、社会管理学、行为科学等科学理论组成的完整严密的理论体系，是人类关于社会发展理论的最新成果。B项正确，无产阶级宇宙观，又称“共产主义世界观”、“共产主义宇宙观”，它是无产阶级对世界的根本看法。无产阶级世界观所信奉的是马克思主义的辩证唯物主义和历史唯物主义哲学。无产阶级的世界观就是要推翻资产阶级的剥削制度，建立更加公正、合理、平等的社会主义、共产主义制度。C项错误，俄国十月革命后，曾经出现过一个“无产阶级文化派”，他们主张抛弃过去的一切，建立无产阶级的数学和天文学，建立无产阶级的新铁路。这种主张是典型的形而上学的否定观。D项错误，马克思主义哲学即辩证唯物主义和历史唯物主义，而辩证唯物主义是由辩证的唯物论和唯物的辩证法、辩证唯物主义认识论三部分组成。辩证唯物主义只是马克思主义哲学的一部分。故正确答案为B。","
来源:2018年5月四川省凉山州事业单位考试《公共基础知识》题第21题","
出错率：64.47%","
易错选项：3"
问题:马克思主义政党的根本政治立场是（    ）。,,"
选项：['A', '.', '人', '民', '立', '场', '\n', 'B', '.', '阶', '级', '立', '场', '\n', 'C', '.', '国', '家', '立', '场', '\n', 'D', '.', '国', '际', '立', '场', '\n']","
答案：0","
【解析】本题考查马克思主义哲学。马克思主义最鲜明的政治立场是一切理论和奋斗都应致力于实现以劳动人民为主体的最广大人民的根本利益。这是由马克思主义理论的本性决定的，也是由无产阶级的历史使命决定的。所以马克思主义政党的根本政治立场是人民立场。故正确答案为A。","
来源:2019年9月吉林省长春市事业单位公开招聘考试《公共基础知识》题第4题","
出错率：82.6%","
易错选项：1"
问题:唯物主义和唯心主义是哲学上的两大基本派别，它们的根本分歧是(  )。,,"
选项：['A', '.', '意', '识', '能', '否', '正', '确', '地', '反', '映', '物', '质', '\n', 'B', '.', '物', '质', '和', '意', '识', '究', '竟', '谁', '决', '定', '谁', '\n', 'C', '.', '意', '识', '有', '没', '有', '能', '动', '作', '用', '\n', 'D', '.', '世', '界', '观', '和', '方', '法', '论', '是', '否', '统', '一', '\n']","
答案：1","
【解析】唯物主义和唯心主义是哲学上的两大基本派别，它们的根本分歧在于究竟是物质决定意识，还是意识决定物质。马克思主义哲学认为：凡是认为物质决定意识，物质第一性、意识第二性的就是唯物主义；凡是认为意识决定物质，意识第一性、物质第二性的就是唯心主义。故正确答案为B。","
来源:2014年5月河南省郑州市巩义市事业单位考试《公共基础知识》题第7题","
出错率：91.71%","
易错选项：0"
问题:离开运动去看待物质，设想没有运动的物质的观点是（    ）。,,"
选项：['A', '.', '主', '观', '唯', '心', '主', '义', '\n', 'B', '.', '科', '学', '社', '会', '主', '义', '\n', 'C', '.', '形', '而', '上', '学', '\n', 'D', '.', '辩', '证', '唯', '物', '主', '义', '\n']","
答案：2","
【解析】本题考查哲学的基本问题的相关知识。A项错误，主观唯心主义认为万事万物都是“我”的感觉、观念、意志、情感等的产物，没有“我”就没有世界。与题干无关。B项错误，科学社会主义是关于无产阶级解放条件的学说，是以科学的哲学、经济学理论为基础的。C项正确，近代形而上学唯物主义用孤立、静止、片面的观点看问题，脱离运动看物质，是一种绝对静止的错误观点。D项错误，辩证唯物主义与形而上学对立，对同一个问题有截然相反的看法。辨证唯物主义用联系、发展、全面的观点看问题，是正确的、需要我们坚持的观点。故正确答案为C。","
来源:2017年吉林省舒兰市事业单位考试题第24题","
出错率：88.45%","
易错选项：0"
问题:“五行”是中国古代道家的一种系统观，广泛用于中医学、风水、相术和占卜等方面，下列不属于“五行”元素的是（  ）。,,"
选项：['A', '.', '金', '\n', 'B', '.', '木', '\n', 'C', '.', '水', '\n', 'D', '.', '晶', '\n']","
答案：3","
【解析】本题考查哲学概述常识。“五行”是古人把宇宙万物划分为五种性质分为金、木、水、火、土。故D“晶”不属于“五行”。（补充知识，五行相生：金生水，水生木，木生火，火生土，土生金；五行相克：金克木，木克土，土克水，水克火，火克金。）本题为选非题，故正确答案为D。","
来源:2017年内蒙古包头事业单位考试《公共基础知识》题第61题","
出错率：99.24%","
易错选项：2"
问题:“人不能两次踏入同一条河流”是唯心主义观点。（    ）,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：1","
【解析】本题考查马克思主义哲学。“人不能两次踏进同一条河流”是古希腊唯物主义哲学家赫拉克利特的一句名言，列宁称他为“辩证法的奠基人之一”。这句名言的意思是说，河里的水是不断流动的，你这次踏进河，水流走了，你下次踏进河时，又流来的是新水。河水川流不息，所以你不能踏进同一条河流。赫拉克利特主张“万物皆动”、“万物皆流”，是朴素辩证法思想的代表，承认物质是运动的，是唯物主义，而非唯心主义观点。故表述错误。","
来源:2018年8月山西省阳泉市市直事业单位公开招聘《公共基础知识》题第75题","
出错率：72.71%","
易错选项：0"
问题:具体问题具体分析是马克思主义“活的灵魂”，是正确认识事物的前提，也是解决矛盾的关键。（    ）,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：0","
【解析】本题考查马克思主义哲学。“马克思主义活的灵魂是具体事物具体分析”这句话是列宁说的。“具体事物具体分析”是认识事物的前提：世界上的事物之所以千差万别，就在于它们各有其特殊的矛盾，只有具体问题具体分析矛盾的特殊性，才能把不同质的事物区别开来。其次，“具体事物具体分析”是正确解决矛盾的关键：正确认识事物的目的是为了正确解决矛盾，事物的矛盾各不相同，解决矛盾的方法也不可能千篇一律，只有具体问题具体分析，才能找到解决矛盾的正确方法。故表述正确。","
来源:2018年8月山西省阳泉市市直事业单位公开招聘《公共基础知识》题第77题","
出错率：71.11%","
易错选项：1"
问题:“梦想是海市蜃楼，还是绿洲，关键取决于你是否停止跋涉的脚步”与“人类的心灵需要理想甚于需要物质”这句话内涵一致。（    ）,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：1","
【解析】本题考查马克思主义哲学。“梦想是海市蜃楼，还是绿洲，关键取决于你是否停止跋涉的脚步。”强调实践的重要性。“人类的心灵需要理想甚于需要物质”，强调意识的能动作用。故表述错误。","
来源:2018年8月山西省阳泉市市直事业单位公开招聘《公共基础知识》题第79题","
出错率：77.4%","
易错选项：0"
问题:认为“人们在创造历史的活动中，谋事在人，成事在天”，这一观点是（  ）。 ,,"
选项：['A', '.', '揭', '示', '了', '人', '的', '能', '动', '性', '的', '发', '挥', '受', '规', '律', '的', '制', '约', '的', '正', '确', '观', '点', '\n', 'B', '.', '否', '认', '了', '社', '会', '规', '律', '的', '客', '观', '性', '的', '错', '误', '观', '点', '\n', 'C', '.', '强', '调', '了', '客', '观', '规', '律', '下', '的', '主', '体', '具', '有', '能', '动', '性', '的', '正', '确', '观', '点', '\n', 'D', '.', '否', '认', '了', '人', '的', '主', '体', '自', '觉', '能', '动', '性', '的', '错', '误', '观', '点', '\n']","
答案：1","
【解析】第一步：知识定位本题考查马克思主义哲学。“谋事在人，成事在天”出自明代罗贯中《三国演义》第一百零三回，是指自己已经尽力而为，至于能否达到目的，那就要看时运如何。第二步：分析选项A项：错误。该项中的“人的能动性的发挥受规律的制约”表述本身正确，但“成事在天”却认为历史活动的成败完全由客观必然性或某种超自然力量所决定的，这是一种错误的观点。B项：正确。“成事在天”即把办成事情的原因、决定因素归结为外在于人的天意，认为历史活动的成败完全由客观必然性或某种超自然力量所决定的，这是错误的，因为它否认了人的努力在事情成败中的作用，同时也否认了社会规律的客观性。因此B选项表述正确。C项：错误。“谋事在人”强调了人的主观能动性，但“成事在天”却认为事情的成败完全由客观必然性或某种超自然力量所决定的，这一观点是错误的。D项：错误。“谋事在人，成事在天”中的“谋事在人”强调了人的主体自觉能动性，只是因后句“成事在天”而导致本观点错误。第三步：再次标注答案故正确答案为B。","
来源:2014年3月湖北省咸宁市咸安区城乡管理执法局考试《综合基础知识》题（精选）第17题","
出错率：20.54%","
易错选项：0"
